ДАТА;ВАКАНСІЯ;ОПИС ВАКАНСІЇ;ПОСИЛАННЯ НА ВАКАНСІЮ;КОМПАНІЯ;ПОСИЛАННЯ НА КОМПАНІЮ
5 вересня 2022;Junior Python Developer (Full Stack);We are looking for a Python Developer to join our company! If you’re looking for interesting projects, a friendly atmosphere, and the ability to improve your skills — we look forward to your CV.;https://jobs.dou.ua/companies/synergy-way/vacancies/217661/;Synergy Way;https://jobs.dou.ua/companies/synergy-way/vacancies/
2 вересня 2022;Medical Application developer (remote);Company: Since 2002, Fulcrum Software has been working with global leaders in medicine solutions, developing and maintaining end-to-end applications and products, which help doctors to save lives around the world.;https://jobs.dou.ua/companies/fulcrumweb/vacancies/183879/;Fulcrum Software;https://jobs.dou.ua/companies/fulcrumweb/vacancies/
26 серпня 2022;Junior IoT Engineer (Python);Binariks is looking for a highly motivated and technical Junior IoT Engineer (Python), who will work for a Germany-based developer of a non-invasive screening method for heart diseases.;https://jobs.dou.ua/companies/binariks/vacancies/216886/;Binariks;https://jobs.dou.ua/companies/binariks/vacancies/
22 серпня 2022;Junior Python Developer in test (Malevich);"Ми — Ajax Systems, розробник і виробник бездротових систем безпеки Ajax із можливостями розумного дому. Наша велика ідея — зробити цей світ безпечним.

Хочемо, щоб у кожному домі, офісі, на виробництві безпека стала нормою, а не вимушеною мірою.";https://jobs.dou.ua/companies/ajax-systems/vacancies/208777/;Ajax Systems;https://jobs.dou.ua/companies/ajax-systems/vacancies/
13 вересня;Junior Python Developer;CosmonovaBroadcast — українська компанія з власною телекомунікаційною інфраструктурою, дата-центром, програмно-апаратними рішеннями, пакетом сервісів і програм власної розробки.;https://djinni.co/jobs/414265-junior-python-developer/;"Cosmonova BroadcastAleksandra Chornaya,
        HR managerУкраїна(Київ)ProductHybrid Remote· 1 рік досвіду· Pre-Intermediate";https://djinni.co/jobs/company-cosmonova-eb33e/
1 вересня;Erlang Developer;Ми прагнемо знайти цілеспрямованого професіонала, який вміє працювати в режимі багатозадачності, орієнтованого на якість та результат.;https://djinni.co/jobs/466325-erlang-developer/;"MIRA - top recruitingAnastasiia Zaimenko,
        RecruiterУкраїнаProductFull Remote· 1 рік досвіду· Pre-Intermediate";https://djinni.co/jobs/company-mcg-761ed/
31 серпня;Python + Vue.JS full stack developer;Buy Now Pay Later сервіс шукає фул стек розробника для розвитку сервісу!;https://djinni.co/jobs/415187-python-vue-js-full-stack-developer/;"Ocean.meAnton Piatygin,
        Co-founderУкраїна(Київ)ProductHybrid Remote· 1 рік досвіду· Pre-Intermediate";https://djinni.co/jobs/company-ocean-credit-a3562/
